measure,hazard,haz_type,x_ent,m_fut_cost,x_haz_today,x_haz_fut,ben_aai_Assets,ben_aai_People,bcr_aai_Assets,bcr_aai_People,npv_aai_Assets,npv_aai_People,ben_rp250_Assets,ben_rp250_People,bcr_rp250_Assets,bcr_rp250_People,npv_rp250_Assets,npv_rp250_People,cost_Assets,cost_People,approv,feas
Mobile flood embankments,river_flood,RF,1.66875,1.1009990169249582,1.84375,2.59375,33702393.14276785,71544.88399948964,17.80518113815652,0.03779760130751033,189854464.19649872,402928.3746794547,384409358.9897835,784112.8180226808,203.08582357999344,0.41425161407685146,2178319700.942108,4443305.9687951915,1719204.0,1719204.0,3,0.6248163296225655
Rain collection,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.40625,0.0,0.0,0.0,0.0,196480460.3014185,422582.3906609489,3.938463868729178e-07,3.6370464980971287e-10,1.6978396060395845e-12,1.567901039414487e-15,2025404916.3157618,4186360.728968254,222999.0,222999.0,3,0.357028877291901
Rain collection,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.59375,0.0,0.0,0.0,0.0,196520876.75220236,422715.88404370664,3.938463868729178e-07,3.6370464980971287e-10,1.6978396060395845e-12,1.567901039414487e-15,2025404916.3157618,4186360.728968254,222999.0,222999.0,3,0.357028877291901
Rain collection,river_flood,RF,1.16875,1.0402250065321725,1.84375,2.40625,0.0,0.0,0.0,0.0,196921280.98991188,423348.62745462864,3.938463868729178e-07,3.6370464980971287e-10,1.6978396060395845e-12,1.567901039414487e-15,2025404916.3157618,4186360.728968254,222999.0,222999.0,3,0.357028877291901
Rain collection,river_flood,RF,1.16875,1.1009990169249582,1.28125,2.40625,0.0,0.0,0.0,0.0,196480460.3014185,422582.3906609489,3.938463868729178e-07,3.6370464980971287e-10,1.604120610584963e-12,1.4813545188459494e-15,2025404916.3157618,4186360.728968254,222999.0,222999.0,3,0.357028877291901
Rain collection,river_flood,RF,1.2,1.0,2.5,2.5,0.0,0.0,0.0,0.0,198954353.7663675,427405.5980336599,3.938463868729178e-07,3.6370464980971287e-10,1.766135215283108e-12,1.6309698689667346e-15,2058987675.29177,4251426.857583855,222999.0,222999.0,3,0.357028877291901
Rain collection,river_flood,RF,1.66875,1.0402250065321725,1.28125,2.40625,0.0,0.0,0.0,0.0,222887033.8091901,473245.7266656388,-9.277395502244955e-08,0.0,-3.9994094270280873e-13,0.0,2562729059.9318914,5227418.786817872,222999.0,222999.0,3,0.357028877291901
Rain collection,river_flood,RF,1.66875,1.1009990169249582,1.84375,2.59375,0.0,0.0,0.0,0.0,223556857.33926657,474473.2586789444,-9.277395502244955e-08,0.0,-3.778646150815484e-13,0.0,2562729059.9318914,5227418.786817872,222999.0,222999.0,3,0.357028877291901
Rehabilitation Drainage,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.40625,158253411.99184003,343548.42312813055,47.76057606119271,0.10368225485312088,38227048.30957848,79033.96753281832,3.938463868729178e-07,3.6370464980971287e-10,1.188620837927958e-13,1.0976536538714205e-16,2025404916.3157618,4186360.728968254,3185343.233315999,3185343.233315999,1,0.047968857004153764
Rehabilitation Drainage,river_flood,RF,1.16875,1.0402250065321725,1.28125,2.59375,158293828.4426239,343681.91651088814,47.77277366848276,0.10372254289987207,38227048.30957845,79033.9675328185,3.938463868729178e-07,3.6370464980971287e-10,1.188620837927958e-13,1.0976536538714205e-16,2025404916.3157618,4186360.728968254,3185343.233315999,3185343.233315999,1,0.047968857004153764
Rehabilitation Drainage,river_flood,RF,1.16875,1.0402250065321725,1.84375,2.40625,158694206.1779663,344314.6571797168,47.89360690071041,0.10391350281953661,38227074.81194559,79033.97027491184,3.938463868729178e-07,3.6370464980971287e-10,1.188620837927958e-13,1.0976536538714205e-16,2025404916.3157618,4186360.728968254,3185343.233315999,3185343.233315999,1,0.047968857004153764
Rehabilitation Drainage,river_flood,RF,1.16875,1.1009990169249582,1.28125,2.40625,158253411.99184003,343548.42312813055,45.124241512942895,0.09795910130154921,38227048.30957848,79033.96753281832,3.938463868729178e-07,3.6370464980971287e-10,1.123010193370735e-13,1.0370643040694785e-16,2025404916.3157618,4186360.728968254,3185343.233315999,3185343.233315999,1,0.047968857004153764
Rehabilitation Drainage,river_flood,RF,1.2,1.0,2.5,2.5,160090898.14257842,347137.207189271,50.258602108608855,0.1089795296024959,38863455.62378907,80268.39084438892,3.938463868729178e-07,3.6370464980971287e-10,1.236433118897886e-13,1.1418067792684614e-16,2058987675.29177,4251426.857583855,3185343.233315999,3185343.233315999,1,0.047968857004153764
Rehabilitation Drainage,river_flood,RF,1.66875,1.0402250065321725,1.28125,2.40625,174477903.84802502,374461.0311942733,52.65709656965088,0.11301162064821021,48409129.96116507,98784.69547136547,-9.277395502244955e-08,0.0,-2.7999001598624896e-14,0.0,2562729059.9318914,5227418.786817872,3185343.233315999,3185343.233315999,1,0.047968857004153764
Rehabilitation Drainage,river_flood,RF,1.66875,1.1009990169249582,1.84375,2.59375,175147689.53782338,375688.55929239717,49.94146125295677,0.10712351202913603,48409167.80144319,98784.6993865472,-9.277395502244955e-08,0.0,-2.6453485582729642e-14,0.0,2562729059.9318914,5227418.786817872,3185343.233315999,3185343.233315999,1,0.047968857004153764
