measure,hazard,haz_type,x_ent,m_fut_cost,x_haz_today,x_haz_fut,ben_aai_Assets,bcr_aai_Assets,npv_aai_Assets,ben_rp250_Assets,bcr_rp250_Assets,npv_rp250_Assets,cost_Assets,approv,feas
Beach nourishment,TCs,TC,0.75859375,0.9931405629494882,1.94921875,2.58203125,5485657994.848942,3.1964967672278797,111109859353.97275,65576271327.75608,38.21133936947208,3889958676495.587,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.76640625,0.9712118567168988,1.97265625,2.13671875,7366088369.621975,4.389137747678449,101730068939.46822,73620271751.35236,43.86717855175404,3926139321364.238,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.76640625,1.018712516222572,1.17578125,3.98828125,598675687.8143494,0.3400918633455087,92070983472.42653,37642709417.99789,21.38383009017455,2177422538358.9485,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.76640625,1.0638055580922516,1.17578125,1.19921875,5557795557.319934,3.0234067203192048,18292384681.542385,341693757191.2068,185.8793097242285,1320713350166.9067,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.76640625,1.0638055580922516,1.17578125,3.98828125,598675687.8143494,0.32567590498101356,92070983472.42653,37642709417.99789,20.477403217091098,2177422538358.9485,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.76640625,1.0638055580922516,3.28515625,3.98828125,2719891859.8964815,1.4796045019903468,171491060920.81863,9.500052994298834e-05,5.1679706045542596e-14,4349748350861.2065,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.76640625,1.0844415077375258,1.73828125,1.17578125,9504414902.185238,5.0719564551770455,29996123504.029102,615954762793.4978,328.6994273081703,2166958356553.1428,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.77421875,0.9006184092139117,2.93359375,2.41796875,5042936645.919271,3.240402466438431,154242742396.74966,-0.00023719895679091574,-1.5241517762152952e-13,4372702739258.9395,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.77421875,0.9409249341937181,2.93359375,2.01953125,6240802916.254704,3.8383250676806053,142350032897.6028,-0.00023719895679091574,-1.4588614864073412e-13,4372702739258.9395,1728000000.0,2,0.15935113630024111
Beach nourishment,TCs,TC,0.77421875,0.9409249341937181,2.93359375,2.41796875,5042936645.919271,3.1015929204143937,154242742396.74966,-0.00023719895679091574,-1.4588614864073412e-13,4372702739258.9395,1728000000.0,2,0.15935113630024111
